pair;participant;trial;trial_id;story_id;target;correct_target;icon;index;prop;
pair00;p01;1;13;ep1;window;1;1;1;0;
pair00;p02;2;3;cd3;mountains;0;1;0;0;
pair00;p01;3;10;ed2;sofa;1;1;0;0;
pair00;p02;4;8;cp4;city;0;0;0;0;
pair00;p01;5;15;ep3;coathanger;1;1;0;0;
pair00;p02;6;9;ed1;stairs;0;1;0;0;
pair00;p01;7;6;cp2;basement;1;1;0;0;
pair00;p02;8;1;cd1;house;0;1;0;0;
pair00;p01;9;14;ep2;chair;1;1;0;0;
pair00;p02;10;12;ed4;carpet;0;1;0;0;
pair00;p01;11;5;cp1;room;1;1;0;0;
pair00;p02;12;2;cd2;attic;0;1;1;0;
pair00;p01;13;16;ep4;painting;1;1;0;0;
pair00;p02;14;7;cp3;laboratory;0;1;0;0;
pair00;p01;15;11;ed3;tree;0;1;0;0;
pair00;p02;16;4;cd4;countryside;0;1;0;0;
pair01;p03;1;14;ep2;chair;1;0;1;1;
pair01;p04;2;9;ed1;stairs;0;1;1;0;
pair01;p03;3;8;cp4;city;0;0;0;0;
pair01;p04;4;2;cd2;attic;0;1;1;0;
pair01;p03;5;16;ep4;painting;1;0;1;1;
pair01;p04;6;7;cp3;laboratory;0;0;0;0;
pair01;p03;7;11;ed3;tree;1;1;0;0;
pair01;p04;8;1;cd1;house;0;1;0;0;
pair01;p03;9;13;ep1;window;0;1;0;0;
pair01;p04;10;6;cp2;basement;1;1;1;0;
pair01;p03;11;12;ed4;carpet;1;1;0;0;
pair01;p04;12;3;cd3;mountains;0;1;1;0;
pair01;p03;13;15;ep3;coathanger;1;0;1;1;
pair01;p04;14;10;ed2;sofa;1;1;1;1;
pair01;p03;15;5;cp1;room;1;1;1;0;
pair01;p04;16;4;cd4;countryside;1;1;0;0;
pair02;p05;1;15;ep3;coathanger;1;1;0;0;
pair02;p06;2;5;cp1;room;0;0;0;0;
pair02;p05;3;12;ed4;carpet;1;1;0;0;
pair02;p06;4;3;cd3;mountains;0;0;1;0;
pair02;p05;5;14;ep2;chair;1;0;1;1;
pair02;p06;6;10;ed2;sofa;1;1;1;1;
