pair,participant,trial,trial_id,story_id,target,correct_target,icon,index,prop,size,distance,item_num,producer,guesser,strategy_combo
1,1,1,13,ep1,window,1,1,0,0,element,proximate,1,1_1,1_2,icon_only
1,2,2,9,ed1,stairs,0,1,0,0,element,displaced,1,1_2,1_1,icon_only
1,1,3,1,cd1,house,1,1,0,0,complete,displaced,1,1_1,1_2,icon_only
1,2,4,6,cp2,basement,1,1,1,0,complete,proximate,2,1_2,1_1,both
1,1,5,11,ed3,tree,1,1,1,1,element,displaced,3,1_1,1_2,both
1,2,6,4,cd4,countryside,0,1,0,0,complete,displaced,4,1_2,1_1,icon_only
1,1,7,5,cp1,room,1,1,1,0,complete,proximate,1,1_1,1_2,both
1,2,8,2,cd2,attic,0,1,0,0,complete,displaced,2,1_2,1_1,icon_only
1,1,9,8,cp4,city,1,1,0,1,complete,proximate,4,1_1,1_2,icon_only
1,2,10,3,cd3,mountains,0,1,1,0,complete,displaced,3,1_2,1_1,both
1,1,11,10,ed2,sofa,1,1,0,0,element,displaced,2,1_1,1_2,icon_only
1,2,12,14,ep2,chair,0,0,1,0,element,proximate,2,1_2,1_1,index_only
1,1,13,12,ed4,carpet,1,1,0,0,element,displaced,4,1_1,1_2,icon_only
1,2,14,15,ep3,coathanger,0,0,1,0,element,proximate,3,1_2,1_1,index_only
1,1,15,7,cp3,laboratory,0,0,1,1,complete,proximate,3,1_1,1_2,index_only
1,2,16,16,ep4,painting,0,0,1,0,element,proximate,4,1_2,1_1,index_only
2,1,1,14,ep2,chair,1,1,1,0,element,proximate,2,2_1,2_2,both
2,2,2,2,cd2,attic,1,0,1,1,complete,displaced,2,2_2,2_1,index_only
2,1,3,13,ep1,window,1,0,1,0,element,proximate,1,2_1,2_2,index_only
2,2,4,5,cp1,room,1,1,0,0,complete,proximate,1,2_2,2_1,icon_only
2,1,5,12,ed4,carpet,1,0,0,1,element,displaced,4,2_1,2_2,neither
2,2,6,8,cp4,city,1,0,1,0,complete,proximate,4,2_2,2_1,index_only
2,1,7,16,ep4,painting,1,0,1,0,element,proximate,4,2_1,2_2,index_only
2,2,8,3,cd3,mountains,1,0,1,1,complete,displaced,3,2_2,2_1,index_only
2,1,9,4,cd4,countryside,0,1,0,0,complete,displaced,4,2_1,2_2,icon_only
2,2,10,9,ed1,stairs,1,1,0,0,element,displaced,1,2_2,2_1,icon_only
2,1,11,7,cp3,laboratory,1,0,1,0,complete,proximate,3,2_1,2_2,index_only
2,2,12,15,ep3,coathanger,1,0,1,0,element,proximate,3,2_2,2_1,index_only
2,1,13,1,cd1,house,1,1,0,0,complete,displaced,1,2_1,2_2,icon_only
2,2,14,10,ed2,sofa,0,1,0,0,element,displaced,2,2_2,2_1,icon_only
2,1,15,6,cp2,basement,1,1,0,0,complete,proximate,2,2_1,2_2,icon_only
2,2,16,11,ed3,tree,1,1,1,0,element,displaced,3,2_2,2_1,both
3,1,1,12,ed4,carpet,1,1,0,0,element,displaced,4,3_1,3_2,icon_only
3,2,2,13,ep1,window,1,0,1,0,element,proximate,1,3_2,3_1,index_only
3,1,3,15,ep3,coathanger,1,0,1,0,element,proximate,3,3_1,3_2,index_only
3,2,4,9,ed1,stairs,0,1,0,0,element,displaced,1,3_2,3_1,icon_only
3,1,5,16,ep4,painting,1,0,1,0,element,proximate,4,3_1,3_2,index_only
3,2,6,5,cp1,room,1,1,0,0,complete,proximate,1,3_2,3_1,icon_only
3,1,7,14,ep2,chair,1,1,0,0,element,proximate,2,3_1,3_2,icon_only
3,2,8,2,cd2,attic,0,0,1,0,complete,displaced,2,3_2,3_1,index_only
3,1,9,1,cd1,house,0,1,0,0,complete,displaced,1,3_1,3_2,icon_only
3,2,10,7,cp3,laboratory,1,0,0,1,complete,proximate,3,3_2,3_1,neither
3,1,11,3,cd3,mountains,0,1,0,0,complete,displaced,3,3_1,3_2,icon_only
3,2,12,10,ed2,sofa,0,1,0,0,element,displaced,2,3_2,3_1,icon_only
3,1,13,11,ed3,tree,0,1,0,0,element,displaced,3,3_1,3_2,icon_only
3,2,14,8,cp4,city,1,0,1,0,complete,proximate,4,3_2,3_1,index_only
3,1,15,6,cp2,basement,1,1,1,0,complete,proximate,2,3_1,3_2,both
3,2,16,4,cd4,countryside,0,1,0,0,complete,displaced,4,3_2,3_1,icon_only
4,1,1,13,ep1,window,0,1,0,0,element,proximate,1,4_1,4_2,icon_only
4,2,2,4,cd4,countryside,0,1,0,0,complete,displaced,4,4_2,4_1,icon_only
4,1,3,1,cd1,house,1,1,0,0,complete,displaced,1,4_1,4_2,icon_only
4,2,4,8,cp4,city,1,0,1,1,complete,proximate,4,4_2,4_1,index_only
4,1,5,9,ed1,stairs,1,1,0,0,element,displaced,1,4_1,4_2,icon_only
4,2,6,3,cd3,mountains,0,1,0,0,complete,displaced,3,4_2,4_1,icon_only
4,1,7,12,ed4,carpet,1,1,0,0,element,displaced,4,4_1,4_2,icon_only
4,2,8,7,cp3,laboratory,0,1,1,0,complete,proximate,3,4_2,4_1,both
4,1,9,15,ep3,coathanger,1,0,1,1,element,proximate,3,4_1,4_2,index_only
4,2,10,14,ep2,chair,1,1,1,1,element,proximate,2,4_2,4_1,both
4,1,11,6,cp2,basement,1,1,1,0,complete,proximate,2,4_1,4_2,both
4,2,12,16,ep4,painting,1,0,1,0,element,proximate,4,4_2,4_1,index_only
4,1,13,10,ed2,sofa,1,1,1,0,element,displaced,2,4_1,4_2,both
4,2,14,11,ed3,tree,0,1,0,0,element,displaced,3,4_2,4_1,icon_only
4,1,15,5,cp1,room,0,1,0,0,complete,proximate,1,4_1,4_2,icon_only
4,2,16,2,cd2,attic,0,1,0,1,complete,displaced,2,4_2,4_1,icon_only
5,1,1,1,cd1,house,1,1,0,1,complete,displaced,1,5_1,5_2,icon_only
5,2,2,8,cp4,city,1,0,1,0,complete,proximate,4,5_2,5_1,index_only
5,1,3,12,ed4,carpet,0,1,1,0,element,displaced,4,5_1,5_2,both
5,2,4,6,cp2,basement,1,1,1,0,complete,proximate,2,5_2,5_1,both
5,1,5,4,cd4,countryside,1,1,0,0,complete,displaced,4,5_1,5_2,icon_only
5,2,6,15,ep3,coathanger,1,0,1,0,element,proximate,3,5_2,5_1,index_only
5,1,7,13,ep1,window,0,0,1,1,element,proximate,1,5_1,5_2,index_only
5,2,8,11,ed3,tree,1,0,1,1,element,displaced,3,5_2,5_1,index_only
5,1,9,9,ed1,stairs,0,1,0,0,element,displaced,1,5_1,5_2,icon_only
5,2,10,10,ed2,sofa,1,0,1,1,element,displaced,2,5_2,5_1,index_only
5,1,11,16,ep4,painting,1,1,1,1,element,proximate,4,5_1,5_2,both
5,2,12,14,ep2,chair,1,1,1,0,element,proximate,2,5_2,5_1,both
5,1,13,3,cd3,mountains,0,1,1,0,complete,displaced,3,5_1,5_2,both
5,2,14,5,cp1,room,1,0,1,0,complete,proximate,1,5_2,5_1,index_only
5,1,15,7,cp3,laboratory,0,1,0,0,complete,proximate,3,5_1,5_2,icon_only
5,2,16,2,cd2,attic,1,1,0,0,complete,displaced,2,5_2,5_1,icon_only
6,1,1,4,cd4,countryside,0,1,1,0,complete,displaced,4,6_1,6_2,both
6,2,2,6,cp2,basement,1,1,1,0,complete,proximate,2,6_2,6_1,both
6,1,3,5,cp1,room,1,0,1,1,complete,proximate,1,6_1,6_2,index_only
6,2,4,1,cd1,house,1,1,1,0,complete,displaced,1,6_2,6_1,both
6,1,5,3,cd3,mountains,1,1,0,0,complete,displaced,3,6_1,6_2,icon_only
6,2,6,16,ep4,painting,1,0,1,1,element,proximate,4,6_2,6_1,index_only
6,1,7,13,ep1,window,1,0,1,0,element,proximate,1,6_1,6_2,index_only
6,2,8,8,cp4,city,1,1,0,0,complete,proximate,4,6_2,6_1,icon_only
6,1,9,14,ep2,chair,1,0,1,0,element,proximate,2,6_1,6_2,index_only
6,2,10,9,ed1,stairs,0,1,0,0,element,displaced,1,6_2,6_1,icon_only
6,1,11,11,ed3,tree,1,1,0,0,element,displaced,3,6_1,6_2,icon_only
6,2,12,7,cp3,laboratory,1,0,1,0,complete,proximate,3,6_2,6_1,index_only
6,1,13,10,ed2,sofa,1,1,0,0,element,displaced,2,6_1,6_2,icon_only
6,2,14,15,ep3,coathanger,1,1,0,0,element,proximate,3,6_2,6_1,icon_only
6,1,15,2,cd2,attic,1,1,1,0,complete,displaced,2,6_1,6_2,both
6,2,16,12,ed4,carpet,0,1,0,0,element,displaced,4,6_2,6_1,icon_only
7,1,1,3,cd3,mountains,0,1,0,0,complete,displaced,3,7_1,7_2,icon_only
7,2,2,14,ep2,chair,0,1,0,0,element,proximate,2,7_2,7_1,icon_only
7,1,3,5,cp1,room,1,1,0,1,complete,proximate,1,7_1,7_2,icon_only
7,2,4,16,ep4,painting,0,0,1,0,element,proximate,4,7_2,7_1,index_only
7,1,5,1,cd1,house,1,1,0,0,complete,displaced,1,7_1,7_2,icon_only
7,2,6,11,ed3,tree,0,1,0,0,element,displaced,3,7_2,7_1,icon_only
7,1,7,6,cp2,basement,0,0,1,0,complete,proximate,2,7_1,7_2,index_only
7,2,8,2,cd2,attic,0,1,0,0,complete,displaced,2,7_2,7_1,icon_only
7,1,9,4,cd4,countryside,0,1,0,0,complete,displaced,4,7_1,7_2,icon_only
7,2,10,9,ed1,stairs,0,1,0,0,element,displaced,1,7_2,7_1,icon_only
7,1,11,12,ed4,carpet,0,1,1,0,element,displaced,4,7_1,7_2,both
7,2,12,8,cp4,city,0,1,1,0,complete,proximate,4,7_2,7_1,both
7,1,13,7,cp3,laboratory,0,0,1,0,complete,proximate,3,7_1,7_2,index_only
7,2,14,10,ed2,sofa,0,1,0,0,element,displaced,2,7_2,7_1,icon_only
7,1,15,15,ep3,coathanger,0,1,0,1,element,proximate,3,7_1,7_2,icon_only
7,2,16,13,ep1,window,0,1,1,0,element,proximate,1,7_2,7_1,both
8,1,1,5,cp1,room,0,1,0,0,complete,proximate,1,8_1,8_2,icon_only
8,2,2,15,ep3,coathanger,0,0,1,0,element,proximate,3,8_2,8_1,index_only
8,1,3,11,ed3,tree,0,1,1,0,element,displaced,3,8_1,8_2,both
8,2,4,9,ed1,stairs,0,1,0,0,element,displaced,1,8_2,8_1,icon_only
8,1,5,1,cd1,house,1,0,1,0,complete,displaced,1,8_1,8_2,index_only
8,2,6,12,ed4,carpet,1,1,0,0,element,displaced,4,8_2,8_1,icon_only
8,1,7,13,ep1,window,0,1,1,0,element,proximate,1,8_1,8_2,both
8,2,8,8,cp4,city,1,1,0,1,complete,proximate,4,8_2,8_1,icon_only
8,1,9,14,ep2,chair,1,1,0,0,element,proximate,2,8_1,8_2,icon_only
8,2,10,16,ep4,painting,1,1,1,0,element,proximate,4,8_2,8_1,both
8,1,11,4,cd4,countryside,0,1,0,1,complete,displaced,4,8_1,8_2,icon_only
8,2,12,3,cd3,mountains,1,0,0,1,complete,displaced,3,8_2,8_1,neither
8,1,13,10,ed2,sofa,1,1,0,0,element,displaced,2,8_1,8_2,icon_only
8,2,14,2,cd2,attic,1,1,0,1,complete,displaced,2,8_2,8_1,icon_only
8,1,15,7,cp3,laboratory,0,1,1,0,complete,proximate,3,8_1,8_2,both
8,2,16,6,cp2,basement,0,0,0,1,complete,proximate,2,8_2,8_1,neither
9,1,1,8,cp4,city,1,0,1,0,complete,proximate,4,9_1,9_2,index_only
9,2,2,9,ed1,stairs,0,1,0,0,element,displaced,1,9_2,9_1,icon_only
9,1,3,3,cd3,mountains,1,1,0,0,complete,displaced,3,9_1,9_2,icon_only
9,2,4,10,ed2,sofa,0,1,0,0,element,displaced,2,9_2,9_1,icon_only
9,1,5,2,cd2,attic,0,1,1,0,complete,displaced,2,9_1,9_2,both
9,2,6,1,cd1,house,0,1,0,0,complete,displaced,1,9_2,9_1,icon_only
9,1,7,12,ed4,carpet,0,1,1,0,element,displaced,4,9_1,9_2,both
9,2,8,16,ep4,painting,1,0,1,0,element,proximate,4,9_2,9_1,index_only
9,1,9,6,cp2,basement,0,1,0,0,complete,proximate,2,9_1,9_2,icon_only
9,2,10,15,ep3,coathanger,1,0,1,0,element,proximate,3,9_2,9_1,index_only
9,1,11,5,cp1,room,1,1,0,0,complete,proximate,1,9_1,9_2,icon_only
9,2,12,13,ep1,window,0,1,0,1,element,proximate,1,9_2,9_1,icon_only
9,1,13,7,cp3,laboratory,0,0,1,0,complete,proximate,3,9_1,9_2,index_only
9,2,14,14,ep2,chair,1,1,0,0,element,proximate,2,9_2,9_1,icon_only
9,1,15,4,cd4,countryside,0,1,0,0,complete,displaced,4,9_1,9_2,icon_only
9,2,16,11,ed3,tree,0,1,0,0,element,displaced,3,9_2,9_1,icon_only
10,1,1,16,ep4,painting,1,0,1,0,element,proximate,4,10_1,10_2,index_only
