"","okno","krzesło","wieszak","obraz","pokój","piwnica","laboratorium","miasto","schody","kanapa","drzewo","dywan","dom","strych","góry","wieś"
"okno",0,0.8655,0.8336,0.819,0.7693,0.7547,0.9978,1.0372,0.729,0.8076,0.9027,0.8292,0.8597,0.6791,0.8888,1.05
"krzesło",0.8655,0,0.8635,0.963,0.7422,0.9197,0.9179,1.0145,0.8046,0.3124,0.887,0.6193,0.9296,0.8418,0.9603,1.0071
"wieszak",0.8336,0.8635,0,0.9527,0.9985,0.9154,0.9694,1.0324,0.8852,0.8858,0.9289,0.9741,1.0394,0.8424,1.0359,1.0141
"obraz",0.819,0.963,0.9527,0,0.922,1.0077,1.007,1.0052,0.9679,0.9661,0.9944,0.8707,0.9511,0.966,1.0108,0.9564
"pokój",0.7693,0.7422,0.9985,0.922,0,0.7041,0.8519,0.9754,0.7569,0.6815,1.0323,0.7891,0.6306,0.6407,0.9963,0.9047
"piwnica",0.7547,0.9197,0.9154,1.0077,0.7041,0,0.8064,0.9766,0.5374,0.8414,0.9598,0.8258,0.6033,0.35,0.9984,0.9397
"laboratorium",0.9978,0.9179,0.9694,1.007,0.8519,0.8064,0,1.0453,0.93,0.9529,1.0853,0.9812,0.8748,0.9009,0.9372,1.0083
"miasto",1.0372,1.0145,1.0324,1.0052,0.9754,0.9766,1.0453,0,1.0467,1.0312,1.0004,1.0046,0.9085,0.9737,0.9887,0.6287
"schody",0.729,0.8046,0.8852,0.9679,0.7569,0.5374,0.93,1.0467,0,0.8202,0.8873,0.8015,0.8141,0.5292,0.9285,1.0759
"kanapa",0.8076,0.3124,0.8858,0.9661,0.6815,0.8414,0.9529,1.0312,0.8202,0,0.8932,0.4336,0.8209,0.6926,0.9607,0.9886
"drzewo",0.9027,0.887,0.9289,0.9944,1.0323,0.9598,1.0853,1.0004,0.8873,0.8932,0,0.9027,0.9052,0.9168,0.9354,0.9019
"dywan",0.8292,0.6193,0.9741,0.8707,0.7891,0.8258,0.9812,1.0046,0.8015,0.4336,0.9027,0,0.8544,0.764,0.9911,0.9285
"dom",0.8597,0.9296,1.0394,0.9511,0.6306,0.6033,0.8748,0.9085,0.8141,0.8209,0.9052,0.8544,0,0.5432,0.9376,0.6909
"strych",0.6791,0.8418,0.8424,0.966,0.6407,0.35,0.9009,0.9737,0.5292,0.6926,0.9168,0.764,0.5432,0,0.8992,0.9436
"góry",0.8888,0.9603,1.0359,1.0108,0.9963,0.9984,0.9372,0.9887,0.9285,0.9607,0.9354,0.9911,0.9376,0.8992,0,0.8553
"wieś",1.05,1.0071,1.0141,0.9564,0.9047,0.9397,1.0083,0.6287,1.0759,0.9886,0.9019,0.9285,0.6909,0.9436,0.8553,0
