"","okno","krzesło","wieszak","obraz","pokój","piwnica","laboratorium","miasto","schody","kanapa","drzewo","dywan","dom","strych","góry","wieś"
"okno",1,0.1345,0.1664,0.181,0.2307,0.2453,0.0022,-0.0372,0.271,0.1924,0.0973,0.1708,0.1403,0.3209,0.1112,-0.05
"krzesło",0.1345,1,0.1365,0.037,0.2578,0.0803,0.0821,-0.0145,0.1954,0.6876,0.113,0.3807,0.0704,0.1582,0.0397,-0.0071
"wieszak",0.1664,0.1365,1,0.0473,0.0015,0.0846,0.0306,-0.0324,0.1148,0.1142,0.0711,0.0259,-0.0394,0.1576,-0.0359,-0.0141
"obraz",0.181,0.037,0.0473,1,0.078,-0.0077,-0.007,-0.0052,0.0321,0.0339,0.0056,0.1293,0.0489,0.034,-0.0108,0.0436
"pokój",0.2307,0.2578,0.0015,0.078,1,0.2959,0.1481,0.0246,0.2431,0.3185,-0.0323,0.2109,0.3694,0.3593,0.0037,0.0953
"piwnica",0.2453,0.0803,0.0846,-0.0077,0.2959,1,0.1936,0.0234,0.4626,0.1586,0.0402,0.1742,0.3967,0.65,0.0016,0.0603
"laboratorium",0.0022,0.0821,0.0306,-0.007,0.1481,0.1936,1,-0.0453,0.07,0.0471,-0.0853,0.0188,0.1252,0.0991,0.0628,-0.0083
"miasto",-0.0372,-0.0145,-0.0324,-0.0052,0.0246,0.0234,-0.0453,1,-0.0467,-0.0312,-4e-04,-0.0046,0.0915,0.0263,0.0113,0.3713
"schody",0.271,0.1954,0.1148,0.0321,0.2431,0.4626,0.07,-0.0467,1,0.1798,0.1127,0.1985,0.1859,0.4708,0.0715,-0.0759
"kanapa",0.1924,0.6876,0.1142,0.0339,0.3185,0.1586,0.0471,-0.0312,0.1798,1,0.1068,0.5664,0.1791,0.3074,0.0393,0.0114
"drzewo",0.0973,0.113,0.0711,0.0056,-0.0323,0.0402,-0.0853,-4e-04,0.1127,0.1068,1,0.0973,0.0948,0.0832,0.0646,0.0981
"dywan",0.1708,0.3807,0.0259,0.1293,0.2109,0.1742,0.0188,-0.0046,0.1985,0.5664,0.0973,1,0.1456,0.236,0.0089,0.0715
"dom",0.1403,0.0704,-0.0394,0.0489,0.3694,0.3967,0.1252,0.0915,0.1859,0.1791,0.0948,0.1456,1,0.4568,0.0624,0.3091
"strych",0.3209,0.1582,0.1576,0.034,0.3593,0.65,0.0991,0.0263,0.4708,0.3074,0.0832,0.236,0.4568,1,0.1008,0.0564
"góry",0.1112,0.0397,-0.0359,-0.0108,0.0037,0.0016,0.0628,0.0113,0.0715,0.0393,0.0646,0.0089,0.0624,0.1008,1,0.1447
"wieś",-0.05,-0.0071,-0.0141,0.0436,0.0953,0.0603,-0.0083,0.3713,-0.0759,0.0114,0.0981,0.0715,0.3091,0.0564,0.1447,1
